"appid","time0","grade","reviews"
"334140",1418083200,100,27
"334180",1418860800,100,1
"334190",1417478400,86,30
"334220",1421280000,100,2
"334221",1421280000,0,2
"334230",1418601600,94,1446
"262060",1419292800,89,4656
"334270",1418774400,60,33
"334290",1418688000,70,70
"334300",1418947200,100,24
"334330",1416441600,100,33
"334340",1425513600,80,10
"262190",1422489600,91,56
"334380",1416528000,80,5
"334390",1425340800,100,1
"334400",1417132800,100,2
"334401",1417132800,54,11
"334402",1417132800,80,5
"334420",1427241600,86,222
"334440",1418860800,80,5
"334441",1418860800,100,5
"334442",1418860800,0,1
"334450",1418860800,75,4
"334470",1420761600,0,1
"334480",1423526400,100,1
"334490",1425859200,50,2
"334530",1416960000,100,1
"334560",1428278400,100,28
"334580",1418083200,100,2
"334600",1417996800,100,4
"334620",1422316800,100,14
"334660",1416528000,97,895
"334690",1421020800,80,227
"334710",1416873600,75,62
"262630",1423180800,100,4
"334810",1418169600,71,8
"334840",1421884800,95,23
"334850",1427241600,88,9
"334860",1416787200,66,3
"334930",1420070400,46,13
"334960",1424390400,40,6
"334980",1419379200,55,27
"262960",1422316800,88,326
"335000",1423440000,96,270
"335010",1423440000,84,13
"335020",1416787200,58,141
"335030",1427241600,45,224
"335050",1418774400,25,104
"335060",1417046400,83,6
"335070",1425513600,93,61
"335080",1421798400,44,9
"335090",1420502400,96,25
"335100",1419292800,80,63
"335150",1420848000,35,585
"335180",1417651200,56,25
"335200",1426636800,100,14
"335210",1417392000,47,23
"335220",1421280000,66,6
"335240",1421884800,83,3429
"335250",1430352000,93,16
"335260",1418860800,100,6
"335290",1418256000,90,43
"335300",1427932800,83,2681
"335320",1417824000,76,39
"335330",1423612800,36,1934
"335350",1416960000,95,23
"335370",1417132800,100,4
"335410",1417392000,60,10
"335420",1420761600,80,5
"335430",1418428800,73,218
"335440",1417651200,25,4
"335460",1431475200,100,1
"335475",1421366400,100,1
"335510",1418169600,85,20
"335550",1422835200,77,9
"335560",1429574400,100,5
"335570",1418688000,33,3
"335580",1418169600,0,1
"335640",1418601600,100,6
"335660",1422403200,52,17
"335670",1417737600,98,583
"335690",1420675200,23,21
"335740",1417737600,31,16
"335770",1417996800,91,12
"335790",1418083200,80,255
"335800",1427846400,89,19
"335830",1418169600,64,108
"335840",1422489600,87,33
"335850",1425859200,81,38
"335880",1417824000,66,3
"335890",1417737600,91,12
"335900",1417996800,82,28
"335920",1422403200,98,51
"335930",1421625600,60,20
"335940",1420848000,95,21
"335981",1419206400,75,4
"336010",1417478400,61,18
"336020",1421193600,41,12
"336040",1420675200,63,113
"336060",1423785600,85,108
"336080",1424822400,82,95
"336090",1418688000,71,35
"336100",1418947200,70,48
"336110",1425945600,85,27
"336150",1430956800,85,20
"336170",1417478400,100,5
